,index,Team1,Team2,Winner,Margin,Ground,Match_Date,Scorecard
277,26,New Zealand,England,New Zealand,155 runs,Wellington,"Feb 16, 2002",ODI # 1809
278,27,Pakistan,West Indies,West Indies,110 runs,Sharjah,"Feb 17, 2002",ODI # 1810
279,28,New Zealand,England,England,43 runs,Napier,"Feb 20, 2002",ODI # 1811
280,29,New Zealand,England,England,33 runs,Auckland,"Feb 23, 2002",ODI # 1812
281,30,New Zealand,England,New Zealand,5 wickets,Dunedin,"Feb 26, 2002",ODI # 1813
282,31,India,Zimbabwe,Zimbabwe,1 wicket,Faridabad,"Mar 7, 2002",ODI # 1814
283,32,India,Zimbabwe,India,64 runs,Mohali,"Mar 10, 2002",ODI # 1815
284,33,India,Zimbabwe,Zimbabwe,6 wickets,Kochi,"Mar 13, 2002",ODI # 1816
285,34,India,Zimbabwe,India,5 wickets,Hyderabad (Deccan),"Mar 16, 2002",ODI # 1817
286,35,India,Zimbabwe,India,101 runs,Guwahati,"Mar 19, 2002",ODI # 1818
287,36,South Africa,Australia,Australia,19 runs,Johannesburg,"Mar 22, 2002",ODI # 1819
288,37,South Africa,Australia,Australia,45 runs,Centurion,"Mar 24, 2002",ODI # 1820
289,38,South Africa,Australia,tied,,Potchefstroom,"Mar 27, 2002",ODI # 1821
290,39,South Africa,Australia,Australia,37 runs,Bloemfontein,"Mar 30, 2002",ODI # 1822
291,40,South Africa,Australia,Australia,8 wickets,Durban,"Apr 3, 2002",ODI # 1823
292,41,South Africa,Australia,Australia,3 wickets,Port Elizabeth,"Apr 6, 2002",ODI # 1824
293,42,Pakistan,Sri Lanka,Sri Lanka,41 runs,Sharjah,"Apr 8, 2002",ODI # 1825
294,43,New Zealand,Sri Lanka,New Zealand,11 runs,Sharjah,"Apr 9, 2002",ODI # 1826
295,44,South Africa,Australia,South Africa,65 runs,Cape Town,"Apr 9, 2002",ODI # 1827
296,45,New Zealand,Pakistan,Pakistan,51 runs,Sharjah,"Apr 11, 2002",ODI # 1828
297,46,Pakistan,Sri Lanka,Sri Lanka,9 runs,Sharjah,"Apr 12, 2002",ODI # 1829
298,47,New Zealand,Sri Lanka,Sri Lanka,46 runs,Sharjah,"Apr 14, 2002",ODI # 1830
299,48,New Zealand,Pakistan,Pakistan,8 wickets,Sharjah,"Apr 15, 2002",ODI # 1831
300,49,Pakistan,Sri Lanka,Pakistan,217 runs,Sharjah,"Apr 17, 2002",ODI # 1832
301,50,Pakistan,New Zealand,Pakistan,153 runs,Karachi,"Apr 21, 2002",ODI # 1833
302,51,Pakistan,New Zealand,Pakistan,3 wickets,Rawalpindi,"Apr 24, 2002",ODI # 1834
303,52,Pakistan,New Zealand,Pakistan,66 runs,Lahore,"Apr 27, 2002",ODI # 1835
304,53,West Indies,India,India,7 wickets,Bridgetown,"May 29, 2002",ODI # 1836
305,54,West Indies,India,West Indies,7 wickets,Port of Spain,"Jun 1, 2002",ODI # 1837
306,55,West Indies,India,India,56 runs,Port of Spain,"Jun 2, 2002",ODI # 1838
307,56,West Indies,New Zealand,no result,,Kingston,"Jun 5, 2002",ODI # 1839
308,57,West Indies,New Zealand,West Indies,6 wickets,Gros Islet,"Jun 8, 2002",ODI # 1840
309,58,West Indies,New Zealand,West Indies,7 wickets,Gros Islet,"Jun 9, 2002",ODI # 1841
310,59,Australia,Pakistan,Australia,7 wickets,Melbourne (Docklands),"Jun 12, 2002",ODI # 1842
311,60,West Indies,New Zealand,New Zealand,9 runs,Port of Spain,"Jun 12, 2002",ODI # 1843
312,61,Australia,Pakistan,Pakistan,2 wickets,Melbourne (Docklands),"Jun 15, 2002",ODI # 1844
313,62,West Indies,New Zealand,West Indies,4 wickets,Kingstown,"Jun 16, 2002",ODI # 1845
314,63,Australia,Pakistan,Pakistan,91 runs,Brisbane,"Jun 19, 2002",ODI # 1846
315,64,England,Sri Lanka,England,44 runs,Nottingham,"Jun 27, 2002",ODI # 1847
316,65,England,India,India,6 wickets,Lord's,"Jun 29, 2002",ODI # 1848
317,66,India,Sri Lanka,India,4 wickets,The Oval,"Jun 30, 2002",ODI # 1849
318,67,England,Sri Lanka,England,3 wickets,Leeds,"Jul 2, 2002",ODI # 1850
319,68,England,India,no result,,Chester-le-Street,"Jul 4, 2002",ODI # 1851
320,69,India,Sri Lanka,India,4 wickets,Birmingham,"Jul 6, 2002",ODI # 1852
321,70,England,Sri Lanka,Sri Lanka,23 runs,Manchester,"Jul 7, 2002",ODI # 1853
322,71,England,India,England,64 runs,The Oval,"Jul 9, 2002",ODI # 1854
323,72,India,Sri Lanka,India,63 runs,Bristol,"Jul 11, 2002",ODI # 1855
324,73,England,India,India,2 wickets,Lord's,"Jul 13, 2002",ODI # 1856
325,74,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (SSC),"Aug 4, 2002",ODI # 1857
326,75,Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Colombo (SSC),"Aug 5, 2002",ODI # 1858
327,76,Sri Lanka,Bangladesh,Sri Lanka,58 runs,Colombo (RPS),"Aug 7, 2002",ODI # 1859
328,77,Pakistan,South Africa,South Africa,54 runs,Tangier,"Aug 12, 2002",ODI # 1860
329,78,Pakistan,Sri Lanka,Pakistan,28 runs,Tangier,"Aug 14, 2002",ODI # 1861
330,79,South Africa,Sri Lanka,Sri Lanka,93 runs,Tangier,"Aug 15, 2002",ODI # 1862
331,80,Pakistan,Sri Lanka,Sri Lanka,39 runs,Tangier,"Aug 17, 2002",ODI # 1863
332,81,Pakistan,South Africa,South Africa,8 runs,Tangier,"Aug 18, 2002",ODI # 1864
333,82,South Africa,Sri Lanka,Sri Lanka,6 wickets,Tangier,"Aug 19, 2002",ODI # 1865
334,83,South Africa,Sri Lanka,Sri Lanka,27 runs,Tangier,"Aug 21, 2002",ODI # 1866
335,84,Kenya,Pakistan,Pakistan,4 wickets,Nairobi (Gym),"Aug 29, 2002",ODI # 1867
336,85,Australia,Pakistan,Australia,224 runs,Nairobi (Gym),"Aug 30, 2002",ODI # 1868
337,86,Kenya,Pakistan,Pakistan,7 wickets,Nairobi (Gym),"Sep 1, 2002",ODI # 1869
338,87,Kenya,Australia,Australia,8 wickets,Nairobi (Gym),"Sep 2, 2002",ODI # 1870
339,88,Australia,Pakistan,Australia,9 wickets,Nairobi (Gym),"Sep 4, 2002",ODI # 1871
340,89,Kenya,Australia,Australia,5 wickets,Nairobi (Gym),"Sep 5, 2002",ODI # 1872
341,90,Australia,Pakistan,no result,,Nairobi (Gym),"Sep 7, 2002",ODI # 1873
342,91,Sri Lanka,Pakistan,Sri Lanka,8 wickets,Colombo (RPS),"Sep 12, 2002",ODI # 1874
343,92,South Africa,West Indies,South Africa,2 wickets,Colombo (SSC),"Sep 13, 2002",ODI # 1875
344,93,India,Zimbabwe,India,14 runs,Colombo (RPS),"Sep 14, 2002",ODI # 1876
345,94,Australia,New Zealand,Australia,164 runs,Colombo (SSC),"Sep 15, 2002",ODI # 1877
346,95,Sri Lanka,Netherlands,Sri Lanka,206 runs,Colombo (RPS),"Sep 16, 2002",ODI # 1878
347,96,Kenya,West Indies,West Indies,29 runs,Colombo (SSC),"Sep 17, 2002",ODI # 1879
348,97,England,Zimbabwe,England,108 runs,Colombo (RPS),"Sep 18, 2002",ODI # 1880
349,98,Australia,Bangladesh,Australia,9 wickets,Colombo (SSC),"Sep 19, 2002",ODI # 1881
350,99,Kenya,South Africa,South Africa,176 runs,Colombo (RPS),"Sep 20, 2002",ODI # 1882
351,100,Netherlands,Pakistan,Pakistan,9 wickets,Colombo (SSC),"Sep 21, 2002",ODI # 1883
352,101,England,India,India,8 wickets,Colombo (RPS),"Sep 22, 2002",ODI # 1884
353,102,Bangladesh,New Zealand,New Zealand,167 runs,Colombo (SSC),"Sep 23, 2002",ODI # 1885
354,103,India,South Africa,India,10 runs,Colombo (RPS),"Sep 25, 2002",ODI # 1886
355,104,Sri Lanka,Australia,Sri Lanka,7 wickets,Colombo (RPS),"Sep 27, 2002",ODI # 1887
356,105,Sri Lanka,India,no result,,Colombo (RPS),"Sep 29, 2002",ODI # 1888
357,106,Sri Lanka,India,no result,,Colombo (RPS),"Sep 30, 2002",ODI # 1889
358,107,South Africa,Bangladesh,South Africa,168 runs,Potchefstroom,"Oct 3, 2002",ODI # 1890
359,108,South Africa,Bangladesh,South Africa,10 wickets,Benoni,"Oct 6, 2002",ODI # 1891
360,109,South Africa,Bangladesh,South Africa,7 wickets,Kimberley,"Oct 9, 2002",ODI # 1892
361,110,India,West Indies,West Indies,4 wickets,Jamshedpur,"Nov 6, 2002",ODI # 1893
362,111,India,West Indies,West Indies,7 wickets,Nagpur,"Nov 9, 2002",ODI # 1894
363,112,India,West Indies,India,81 runs,Rajkot,"Nov 12, 2002",ODI # 1895
364,113,India,West Indies,India,5 wickets,Ahmedabad,"Nov 15, 2002",ODI # 1896
365,114,India,West Indies,West Indies,5 wickets,Vadodara,"Nov 18, 2002",ODI # 1897
366,115,India,West Indies,India,3 wickets,Jodhpur,"Nov 21, 2002",ODI # 1898
367,116,Zimbabwe,Pakistan,Pakistan,7 runs,Bulawayo,"Nov 23, 2002",ODI # 1899
368,117,India,West Indies,West Indies,135 runs,Vijayawada,"Nov 24, 2002",ODI # 1900
369,118,Zimbabwe,Pakistan,Pakistan,104 runs,Bulawayo,"Nov 24, 2002",ODI # 1901
370,119,Zimbabwe,Pakistan,Pakistan,48 runs,Harare,"Nov 27, 2002",ODI # 1902
371,120,South Africa,Sri Lanka,South Africa,6 wickets,Johannesburg,"Nov 27, 2002",ODI # 1903
372,121,Bangladesh,West Indies,no result,,Chittagong,"Nov 29, 2002",ODI # 1904
373,122,South Africa,Sri Lanka,South Africa,177 runs,Centurion,"Nov 29, 2002",ODI # 1905
374,123,Zimbabwe,Pakistan,Pakistan,8 wickets,Harare,"Nov 30, 2002",ODI # 1906
375,124,Zimbabwe,Pakistan,Pakistan,70 runs,Harare,"Dec 1, 2002",ODI # 1907
376,125,South Africa,Sri Lanka,Sri Lanka,7 wickets,Benoni,"Dec 1, 2002",ODI # 1908
377,126,Bangladesh,West Indies,West Indies,84 runs,Dhaka,"Dec 2, 2002",ODI # 1909
378,127,Bangladesh,West Indies,West Indies,86 runs,Dhaka,"Dec 3, 2002",ODI # 1910
379,128,South Africa,Sri Lanka,South Africa,8 wickets,Kimberley,"Dec 4, 2002",ODI # 1911
380,129,South Africa,Sri Lanka,South Africa,6 wickets,Bloemfontein,"Dec 6, 2002",ODI # 1912
381,130,Zimbabwe,Kenya,no result,,Harare,"Dec 8, 2002",ODI # 1913
382,131,South Africa,Pakistan,South Africa,132 runs,Durban,"Dec 8, 2002",ODI # 1914
383,132,Zimbabwe,Kenya,Zimbabwe,47 runs,Kwekwe,"Dec 11, 2002",ODI # 1915
384,133,South Africa,Pakistan,Pakistan,182 runs,Port Elizabeth,"Dec 11, 2002",ODI # 1916
385,134,Australia,England,Australia,7 wickets,Sydney,"Dec 13, 2002",ODI # 1917
386,135,South Africa,Pakistan,South Africa,62 runs,East London,"Dec 13, 2002",ODI # 1918
387,136,Australia,England,Australia,89 runs,Melbourne,"Dec 15, 2002",ODI # 1919
388,137,Zimbabwe,Kenya,Zimbabwe,9 wickets,Bulawayo,"Dec 15, 2002",ODI # 1920
389,138,South Africa,Pakistan,South Africa,9 wickets,Paarl,"Dec 16, 2002",ODI # 1921
390,139,England,Sri Lanka,England,43 runs,Brisbane,"Dec 17, 2002",ODI # 1922
391,140,South Africa,Pakistan,South Africa,34 runs,Cape Town,"Dec 18, 2002",ODI # 1923
392,141,England,Sri Lanka,England,95 runs,Perth,"Dec 20, 2002",ODI # 1924
393,142,Australia,Sri Lanka,Australia,142 runs,Perth,"Dec 22, 2002",ODI # 1925
394,143,New Zealand,India,New Zealand,3 wickets,Auckland,"Dec 26, 2002",ODI # 1926
395,144,New Zealand,India,New Zealand,35 runs,Napier,"Dec 29, 2002",ODI # 1927
396,0,New Zealand,India,New Zealand,5 wickets,Christchurch,"Jan 1, 2003",ODI # 1928
397,1,New Zealand,India,New Zealand,7 wickets,Queenstown,"Jan 4, 2003",ODI # 1929
398,2,New Zealand,India,India,2 wickets,Wellington,"Jan 8, 2003",ODI # 1930
399,3,Australia,Sri Lanka,Sri Lanka,79 runs,Sydney,"Jan 9, 2003",ODI # 1931
400,4,Australia,England,Australia,7 runs,Hobart,"Jan 11, 2003",ODI # 1932
401,5,New Zealand,India,India,1 wicket,Auckland,"Jan 11, 2003",ODI # 1933
402,6,England,Sri Lanka,Sri Lanka,31 runs,Sydney,"Jan 13, 2003",ODI # 1934
403,7,New Zealand,India,New Zealand,6 wickets,Hamilton,"Jan 14, 2003",ODI # 1935
404,8,Australia,Sri Lanka,Australia,4 wickets,Brisbane,"Jan 15, 2003",ODI # 1936
405,9,England,Sri Lanka,England,19 runs,Adelaide,"Jan 17, 2003",ODI # 1937
406,10,Australia,England,Australia,4 wickets,Adelaide,"Jan 19, 2003",ODI # 1938
407,11,Australia,Sri Lanka,Australia,9 wickets,Melbourne,"Jan 21, 2003",ODI # 1939
408,12,Australia,England,Australia,10 wickets,Sydney,"Jan 23, 2003",ODI # 1940
409,13,Australia,England,Australia,5 runs,Melbourne,"Jan 25, 2003",ODI # 1941
410,14,South Africa,West Indies,West Indies,3 runs,Cape Town,"Feb 9, 2003",ODI # 1942
411,15,Zimbabwe,Namibia,Zimbabwe,86 runs,Harare,"Feb 10, 2003",ODI # 1943
412,16,New Zealand,Sri Lanka,Sri Lanka,47 runs,Bloemfontein,"Feb 10, 2003",ODI # 1944
413,17,Australia,Pakistan,Australia,82 runs,Johannesburg,"Feb 11, 2003",ODI # 1945
414,18,Bangladesh,Canada,Canada,60 runs,Durban,"Feb 11, 2003",ODI # 1946
415,19,South Africa,Kenya,South Africa,10 wickets,Potchefstroom,"Feb 12, 2003",ODI # 1947
416,20,India,Netherlands,India,68 runs,Paarl,"Feb 12, 2003",ODI # 1948
417,21,New Zealand,West Indies,New Zealand,20 runs,Port Elizabeth,"Feb 13, 2003",ODI # 1949
418,22,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg,"Feb 14, 2003",ODI # 1950
419,23,Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003",ODI # 1951
420,24,Canada,Kenya,Kenya,4 wickets,Cape Town,"Feb 15, 2003",ODI # 1952
421,25,England,Netherlands,England,6 wickets,East London,"Feb 16, 2003",ODI # 1953
422,26,Namibia,Pakistan,Pakistan,171 runs,Kimberley,"Feb 16, 2003",ODI # 1954
423,27,South Africa,New Zealand,New Zealand,9 wickets,Johannesburg,"Feb 16, 2003",ODI # 1955
424,28,Bangladesh,West Indies,no result,,Benoni,"Feb 18, 2003",ODI # 1956
425,29,Zimbabwe,India,India,83 runs,Harare,"Feb 19, 2003",ODI # 1957
426,30,Canada,Sri Lanka,Sri Lanka,9 wickets,Paarl,"Feb 19, 2003",ODI # 1958
427,31,England,Namibia,England,55 runs,Port Elizabeth,"Feb 19, 2003",ODI # 1959
428,32,Australia,Netherlands,Australia,75 runs,Potchefstroom,"Feb 20, 2003",ODI # 1960
429,33,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein,"Feb 22, 2003",ODI # 1961
430,34,England,Pakistan,England,112 runs,Cape Town,"Feb 22, 2003",ODI # 1962
431,35,Canada,West Indies,West Indies,7 wickets,Centurion,"Feb 23, 2003",ODI # 1963
432,36,India,Namibia,India,181 runs,Pietermaritzburg,"Feb 23, 2003",ODI # 1964
433,37,Kenya,Sri Lanka,Kenya,53 runs,Nairobi (Gym),"Feb 24, 2003",ODI # 1965
434,38,Zimbabwe,Australia,Australia,7 wickets,Bulawayo,"Feb 24, 2003",ODI # 1966
435,39,Netherlands,Pakistan,Pakistan,97 runs,Paarl,"Feb 25, 2003",ODI # 1967
436,40,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley,"Feb 26, 2003",ODI # 1968
437,41,England,India,India,82 runs,Durban,"Feb 26, 2003",ODI # 1969
438,42,Australia,Namibia,Australia,256 runs,Potchefstroom,"Feb 27, 2003",ODI # 1970
439,43,South Africa,Canada,South Africa,118 runs,East London,"Feb 27, 2003",ODI # 1971
440,44,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo,"Feb 28, 2003",ODI # 1972
441,45,Sri Lanka,West Indies,Sri Lanka,6 runs,Cape Town,"Feb 28, 2003",ODI # 1973
442,46,Bangladesh,Kenya,Kenya,32 runs,Johannesburg,"Mar 1, 2003",ODI # 1974
443,47,India,Pakistan,India,6 wickets,Centurion,"Mar 1, 2003",ODI # 1975
444,48,Australia,England,Australia,2 wickets,Port Elizabeth,"Mar 2, 2003",ODI # 1976
445,49,Canada,New Zealand,New Zealand,5 wickets,Benoni,"Mar 3, 2003",ODI # 1977
446,50,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein,"Mar 3, 2003",ODI # 1978
447,51,South Africa,Sri Lanka,tied,,Durban,"Mar 3, 2003",ODI # 1979
448,52,Zimbabwe,Pakistan,no result,,Bulawayo,"Mar 4, 2003",ODI # 1980
449,53,Kenya,West Indies,West Indies,142 runs,Kimberley,"Mar 4, 2003",ODI # 1981
450,54,Australia,Sri Lanka,Australia,96 runs,Centurion,"Mar 7, 2003",ODI # 1982
451,55,India,Kenya,India,6 wickets,Cape Town,"Mar 7, 2003",ODI # 1983
452,56,New Zealand,Zimbabwe,New Zealand,6 wickets,Bloemfontein,"Mar 8, 2003",ODI # 1984
453,57,India,Sri Lanka,India,183 runs,Johannesburg,"Mar 10, 2003",ODI # 1985
454,58,Australia,New Zealand,Australia,96 runs,Port Elizabeth,"Mar 11, 2003",ODI # 1986
455,59,Kenya,Zimbabwe,Kenya,7 wickets,Bloemfontein,"Mar 12, 2003",ODI # 1987
456,60,India,New Zealand,India,7 wickets,Centurion,"Mar 14, 2003",ODI # 1988
457,61,Sri Lanka,Zimbabwe,Sri Lanka,74 runs,East London,"Mar 15, 2003",ODI # 1989
458,62,Australia,Kenya,Australia,5 wickets,Durban,"Mar 15, 2003",ODI # 1990
459,63,Australia,Sri Lanka,Australia,48 runs,Port Elizabeth,"Mar 18, 2003",ODI # 1991
460,64,India,Kenya,India,91 runs,Durban,"Mar 20, 2003",ODI # 1992
461,65,Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003",ODI # 1993
462,66,Pakistan,Zimbabwe,Pakistan,68 runs,Sharjah,"Apr 3, 2003",ODI # 1994
463,67,Pakistan,Sri Lanka,Pakistan,7 wickets,Sharjah,"Apr 4, 2003",ODI # 1995
464,68,Kenya,Zimbabwe,Zimbabwe,5 wickets,Sharjah,"Apr 5, 2003",ODI # 1996
465,69,Kenya,Sri Lanka,Sri Lanka,129 runs,Sharjah,"Apr 6, 2003",ODI # 1997
466,70,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Sharjah,"Apr 7, 2003",ODI # 1998
467,71,Kenya,Pakistan,Pakistan,143 runs,Sharjah,"Apr 8, 2003",ODI # 1999
468,72,Pakistan,Zimbabwe,Pakistan,8 wickets,Sharjah,"Apr 10, 2003",ODI # 2000
469,73,Bangladesh,India,India,200 runs,Dhaka,"Apr 11, 2003",ODI # 2001
470,74,India,South Africa,India,153 runs,Dhaka,"Apr 13, 2003",ODI # 2002
471,75,Bangladesh,South Africa,South Africa,83 runs,Dhaka,"Apr 14, 2003",ODI # 2003
472,76,Bangladesh,India,India,4 wickets,Dhaka,"Apr 16, 2003",ODI # 2004
473,77,Bangladesh,South Africa,South Africa,93 runs,Dhaka,"Apr 17, 2003",ODI # 2005
474,78,India,South Africa,South Africa,5 wickets,Dhaka,"Apr 18, 2003",ODI # 2006
475,79,India,South Africa,no result,,Dhaka,"Apr 21, 2003",ODI # 2007
476,80,Sri Lanka,Pakistan,Pakistan,79 runs,Dambulla,"May 10, 2003",ODI # 2008
477,81,New Zealand,Pakistan,New Zealand,7 wickets,Dambulla,"May 11, 2003",ODI # 2009
478,82,Sri Lanka,New Zealand,Sri Lanka,5 wickets,Dambulla,"May 13, 2003",ODI # 2010
479,83,West Indies,Australia,Australia,2 runs,Kingston,"May 17, 2003",ODI # 2011
480,84,Sri Lanka,Pakistan,Sri Lanka,12 runs,Dambulla,"May 18, 2003",ODI # 2012
481,85,West Indies,Australia,Australia,8 wickets,Kingston,"May 18, 2003",ODI # 2013
482,86,Sri Lanka,New Zealand,New Zealand,9 runs,Dambulla,"May 19, 2003",ODI # 2014
483,87,New Zealand,Pakistan,Pakistan,22 runs,Dambulla,"May 20, 2003",ODI # 2015
484,88,West Indies,Australia,Australia,25 runs,Gros Islet,"May 21, 2003",ODI # 2016
485,89,New Zealand,Pakistan,New Zealand,4 wickets,Dambulla,"May 23, 2003",ODI # 2017
486,90,West Indies,Australia,Australia,67 runs,Port of Spain,"May 24, 2003",ODI # 2018
487,91,West Indies,Australia,West Indies,39 runs,Port of Spain,"May 25, 2003",ODI # 2019
488,92,West Indies,Australia,West Indies,3 wickets,St George's,"May 30, 2003",ODI # 2020
489,93,West Indies,Australia,West Indies,9 wickets,St George's,"Jun 1, 2003",ODI # 2021
490,94,West Indies,Sri Lanka,Sri Lanka,55 runs,Bridgetown,"Jun 7, 2003",ODI # 2022
491,95,West Indies,Sri Lanka,Sri Lanka,4 wickets,Bridgetown,"Jun 8, 2003",ODI # 2023
492,96,West Indies,Sri Lanka,West Indies,6 wickets,Kingstown,"Jun 11, 2003",ODI # 2024
493,97,England,Pakistan,Pakistan,2 wickets,Manchester,"Jun 17, 2003",ODI # 2025
494,98,England,Pakistan,England,7 wickets,The Oval,"Jun 20, 2003",ODI # 2026
495,99,England,Pakistan,England,4 wickets,Lord's,"Jun 22, 2003",ODI # 2027
496,100,England,Zimbabwe,Zimbabwe,4 wickets,Nottingham,"Jun 26, 2003",ODI # 2028
497,101,England,South Africa,England,6 wickets,The Oval,"Jun 28, 2003",ODI # 2029
498,102,South Africa,Zimbabwe,South Africa,46 runs,Canterbury,"Jun 29, 2003",ODI # 2030
499,103,England,Zimbabwe,no result,,Leeds,"Jul 1, 2003",ODI # 2031
500,104,England,South Africa,South Africa,7 wickets,Manchester,"Jul 3, 2003",ODI # 2032
501,105,South Africa,Zimbabwe,South Africa,9 wickets,Cardiff,"Jul 5, 2003",ODI # 2033
502,106,England,Zimbabwe,England,6 wickets,Bristol,"Jul 6, 2003",ODI # 2034
503,107,England,South Africa,England,4 wickets,Birmingham,"Jul 8, 2003",ODI # 2035
504,108,South Africa,Zimbabwe,South Africa,7 wickets,Southampton,"Jul 10, 2003",ODI # 2036
505,109,England,South Africa,England,7 wickets,Lord's,"Jul 12, 2003",ODI # 2037
506,110,Australia,Bangladesh,Australia,8 wickets,Cairns,"Aug 2, 2003",ODI # 2038
507,111,Australia,Bangladesh,Australia,9 wickets,Cairns,"Aug 3, 2003",ODI # 2039
508,112,Australia,Bangladesh,Australia,112 runs,Darwin,"Aug 6, 2003",ODI # 2040
509,113,Pakistan,Bangladesh,Pakistan,137 runs,Multan,"Sep 9, 2003",ODI # 2041
510,114,Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad,"Sep 12, 2003",ODI # 2042
511,115,Pakistan,Bangladesh,Pakistan,42 runs,Lahore,"Sep 15, 2003",ODI # 2043
512,116,Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi,"Sep 18, 2003",ODI # 2044
513,117,Pakistan,Bangladesh,Pakistan,58 runs,Karachi,"Sep 21, 2003",ODI # 2045
514,118,Pakistan,South Africa,Pakistan,8 runs,Lahore,"Oct 3, 2003",ODI # 2046
515,119,Pakistan,South Africa,Pakistan,42 runs,Lahore,"Oct 5, 2003",ODI # 2047
516,120,Pakistan,South Africa,South Africa,13 runs,Faisalabad,"Oct 7, 2003",ODI # 2048
517,121,Pakistan,South Africa,South Africa,6 wickets,Rawalpindi,"Oct 10, 2003",ODI # 2049
518,122,Pakistan,South Africa,South Africa,7 wickets,Rawalpindi,"Oct 12, 2003",ODI # 2050
519,123,India,New Zealand,no result,,Chennai,"Oct 23, 2003",ODI # 2051
520,124,India,Australia,India,37 runs,Gwalior,"Oct 26, 2003",ODI # 2052
521,125,Australia,New Zealand,Australia,8 wickets,Faridabad,"Oct 29, 2003",ODI # 2053
522,126,India,Australia,Australia,77 runs,Mumbai,"Nov 1, 2003",ODI # 2054
523,127,Australia,New Zealand,Australia,2 wickets,Pune,"Nov 3, 2003",ODI # 2055
524,128,India,New Zealand,New Zealand,4 wickets,Cuttack,"Nov 6, 2003",ODI # 2056
525,129,Bangladesh,England,England,7 wickets,Chittagong,"Nov 7, 2003",ODI # 2057
526,130,Australia,New Zealand,Australia,44 runs,Guwahati,"Nov 9, 2003",ODI # 2058
527,131,Bangladesh,England,England,7 wickets,Dhaka,"Nov 10, 2003",ODI # 2059
528,132,Bangladesh,England,England,7 wickets,Dhaka,"Nov 12, 2003",ODI # 2060
529,133,India,Australia,Australia,61 runs,Bengaluru,"Nov 12, 2003",ODI # 2061
530,134,India,New Zealand,India,145 runs,Hyderabad (Deccan),"Nov 15, 2003",ODI # 2062
531,135,Sri Lanka,England,Sri Lanka,10 wickets,Dambulla,"Nov 18, 2003",ODI # 2063
532,136,India,Australia,Australia,37 runs,Kolkata,"Nov 18, 2003",ODI # 2064
533,137,Zimbabwe,West Indies,West Indies,51 runs,Bulawayo,"Nov 22, 2003",ODI # 2065
534,138,Zimbabwe,West Indies,Zimbabwe,6 wickets,Bulawayo,"Nov 23, 2003",ODI # 2066
535,139,Zimbabwe,West Indies,Zimbabwe,21 runs,Harare,"Nov 26, 2003",ODI # 2067
536,140,Zimbabwe,West Indies,West Indies,72 runs,Harare,"Nov 29, 2003",ODI # 2069
537,141,Pakistan,New Zealand,Pakistan,3 wickets,Lahore,"Nov 29, 2003",ODI # 2068
538,142,Zimbabwe,West Indies,West Indies,8 wickets,Harare,"Nov 30, 2003",ODI # 2070
539,143,Pakistan,New Zealand,Pakistan,124 runs,Lahore,"Dec 1, 2003",ODI # 2071
540,144,Pakistan,New Zealand,Pakistan,51 runs,Faisalabad,"Dec 3, 2003",ODI # 2072
541,145,Pakistan,New Zealand,Pakistan,7 wickets,Rawalpindi,"Dec 5, 2003",ODI # 2073
542,146,Pakistan,New Zealand,Pakistan,49 runs,Rawalpindi,"Dec 7, 2003",ODI # 2074
543,0,New Zealand,Pakistan,New Zealand,4 wickets,Auckland,"Jan 3, 2004",ODI # 2075
544,1,New Zealand,Pakistan,Pakistan,6 wickets,Queenstown,"Jan 7, 2004",ODI # 2076
545,2,Australia,India,Australia,18 runs,Melbourne,"Jan 9, 2004",ODI # 2077
546,3,New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Jan 10, 2004",ODI # 2078
547,4,Australia,Zimbabwe,Australia,99 runs,Sydney,"Jan 11, 2004",ODI # 2079
548,5,New Zealand,Pakistan,New Zealand,8 wickets,Napier,"Jan 14, 2004",ODI # 2081
549,6,India,Zimbabwe,India,7 wickets,Hobart,"Jan 14, 2004",ODI # 2080
550,7,Australia,Zimbabwe,Australia,148 runs,Hobart,"Jan 16, 2004",ODI # 2082
551,8,New Zealand,Pakistan,New Zealand,4 runs,Wellington,"Jan 17, 2004",ODI # 2083
552,9,Australia,India,India,19 runs,Brisbane,"Jan 18, 2004",ODI # 2084
553,10,India,Zimbabwe,India,24 runs,Brisbane,"Jan 20, 2004",ODI # 2085
554,11,Australia,India,Australia,2 wickets,Sydney,"Jan 22, 2004",ODI # 2086
555,12,India,Zimbabwe,India,3 runs,Adelaide,"Jan 24, 2004",ODI # 2087
556,13,South Africa,West Indies,South Africa,209 runs,Cape Town,"Jan 25, 2004",ODI # 2088
557,14,Australia,Zimbabwe,Australia,13 runs,Adelaide,"Jan 26, 2004",ODI # 2089
